시도,시군구,자격별,성별,연령구분,신청자,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외A,등급외B,등급외C
서울,종로구,일반,남자,65세미만,34 ,0 ,2 ,8 ,8 ,0 ,0 ,5 ,5 ,1 
서울,종로구,일반,남자,65-69세,55 ,2 ,4 ,11 ,8 ,0 ,0 ,9 ,1 ,4 
서울,종로구,일반,남자,70-74세,67 ,2 ,4 ,11 ,16 ,4 ,0 ,6 ,1 ,1 
서울,종로구,일반,남자,75-79세,106 ,5 ,8 ,19 ,30 ,3 ,1 ,5 ,3 ,2 
서울,종로구,일반,남자,80-84세,163 ,11 ,6 ,29 ,52 ,16 ,2 ,7 ,6 ,2 
서울,종로구,일반,남자,85세이상,244 ,14 ,23 ,69 ,68 ,12 ,6 ,6 ,5 ,3 
서울,종로구,일반,여자,65세미만,26 ,2 ,2 ,4 ,2 ,0 ,0 ,2 ,2 ,3 
서울,종로구,일반,여자,65-69세,55 ,2 ,4 ,13 ,10 ,1 ,0 ,6 ,0 ,1 
서울,종로구,일반,여자,70-74세,109 ,6 ,3 ,14 ,21 ,4 ,2 ,9 ,6 ,0 
서울,종로구,일반,여자,75-79세,201 ,3 ,13 ,22 ,58 ,16 ,2 ,22 ,8 ,1 
서울,종로구,일반,여자,80-84세,398 ,24 ,12 ,82 ,109 ,25 ,9 ,33 ,14 ,4 
서울,종로구,일반,여자,85세이상,570 ,53 ,70 ,152 ,159 ,41 ,6 ,17 ,6 ,2 
서울,종로구,기초,남자,65세미만,18 ,1 ,0 ,3 ,7 ,0 ,0 ,1 ,1 ,0 
서울,종로구,기초,남자,65-69세,26 ,0 ,1 ,1 ,5 ,1 ,2 ,4 ,2 ,0 
서울,종로구,기초,남자,70-74세,18 ,1 ,0 ,2 ,5 ,0 ,0 ,5 ,3 ,0 
서울,종로구,기초,남자,75-79세,19 ,1 ,1 ,2 ,6 ,2 ,0 ,0 ,1 ,0 
서울,종로구,기초,남자,80-84세,14 ,0 ,1 ,1 ,7 ,1 ,1 ,0 ,2 ,0 
서울,종로구,기초,남자,85세이상,16 ,0 ,0 ,2 ,6 ,0 ,0 ,2 ,1 ,1 
서울,종로구,기초,여자,65세미만,5 ,0 ,1 ,0 ,3 ,0 ,0 ,0 ,0 ,0 
서울,종로구,기초,여자,65-69세,17 ,0 ,1 ,5 ,3 ,0 ,0 ,1 ,1 ,0 
서울,종로구,기초,여자,70-74세,19 ,1 ,0 ,0 ,9 ,0 ,0 ,1 ,2 ,0 
서울,종로구,기초,여자,75-79세,33 ,0 ,1 ,6 ,10 ,2 ,0 ,4 ,2 ,0 
서울,종로구,기초,여자,80-84세,54 ,2 ,4 ,11 ,18 ,3 ,2 ,4 ,1 ,0 
서울,종로구,기초,여자,85세이상,74 ,7 ,13 ,19 ,18 ,2 ,1 ,6 ,1 ,1 
서울,종로구,의료,남자,65-69세,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울,종로구,의료,여자,65-69세,3 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울,종로구,의료,여자,75-79세,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울,종로구,의료,여자,80-84세,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울,종로구,의료,여자,85세이상,7 ,0 ,1 ,1 ,2 ,0 ,0 ,0 ,0 ,0 
서울,종로구,감경,남자,65세미만,13 ,0 ,0 ,6 ,4 ,2 ,0 ,0 ,0 ,0 
서울,종로구,감경,남자,65-69세,15 ,2 ,1 ,2 ,8 ,1 ,0 ,0 ,0 ,0 
서울,종로구,감경,남자,70-74세,23 ,2 ,2 ,8 ,8 ,2 ,1 ,0 ,0 ,0 
서울,종로구,감경,남자,75-79세,35 ,2 ,6 ,6 ,15 ,3 ,0 ,1 ,0 ,0 
서울,종로구,감경,남자,80-84세,35 ,2 ,6 ,12 ,7 ,3 ,2 ,0 ,0 ,0 
서울,종로구,감경,남자,85세이상,48 ,3 ,4 ,16 ,17 ,3 ,1 ,0 ,1 ,0 
서울,종로구,감경,여자,65세미만,8 ,3 ,0 ,2 ,1 ,0 ,0 ,0 ,1 ,0 
서울,종로구,감경,여자,65-69세,19 ,0 ,1 ,7 ,6 ,1 ,0 ,2 ,0 ,0 
서울,종로구,감경,여자,70-74세,42 ,4 ,7 ,9 ,14 ,4 ,0 ,0 ,0 ,0 
서울,종로구,감경,여자,75-79세,70 ,4 ,6 ,24 ,21 ,6 ,1 ,1 ,0 ,0 
서울,종로구,감경,여자,80-84세,150 ,12 ,13 ,27 ,80 ,9 ,3 ,2 ,0 ,0 
